153,PALO ALTO NETWORKS INC,1327567
154,PARETEUM CORP,1084384
155,PARK CITY GROUP INC,50471
156,PAYBOX CORP,879703
157,PAYCHEX INC,723531
158,PAYCOM SOFTWARE INC,1590955
159,PAYLOCITY HOLDING CORP,1591698
160,PEGASYSTEMS INC,1013857
161,PHUNWARE INC,1603498
162,PING IDENTITY HOLDING CORP,1679826
163,PLURALSIGHT INC,1725579
164,PRIMAL SOLUTIONS INC,1124217
165,PROOFPOINT INC,1212458
166,PROS HOLDINGS INC,1392972
167,PTC INC,857005
168,PULSE EVOLUTION CORP,1583138
169,Q2 HOLDINGS INC,1410384
170,QAD INC,1036188
171,QUALYS INC,1107843
172,QUMU CORP,892482
173,RAADR INC,1384365
174,RAND WORLDWIDE INC,852437
175,RAPID7 INC,1560327
176,REALNETWORKS INC,1046327
177,REALPAGE INC,1286225
178,RIGHTSCORP INC,1506270
179,RINGCENTRAL INC,1384905
180,RIOT BLOCKCHAIN INC,1167419
181,ROCKETFUEL BLOCKCHAIN INC,823546
182,ROSETTA STONE INC,1351285
183,SALESFORCECOM INC,1108524
184,SCIENT INC,1158019
185,SEACHANGE INTERNATIONAL INC,1019671
186,SECUREWORKS CORP,1468666
187,SERVICENOW INC,1373715
188,SHARPSPRING INC,1506439
189,SHOTSPOTTER INC,1351636
190,SIMTROL INC,846775
191,SITO MOBILE LTD,1157817
192,SLACK TECHNOLOGIES INC,1764925
193,SMARTMETRIC INC,1301991
194,SMARTSHEET INC,1366561
195,SMITH MICRO SOFTWARE INC,948708
196,SNOWFLAKE INC,1640147
197,SOFTECH INC,354260
198,SOLARWINDS CORP,1739942
199,SONIC FOUNDRY INC,1029744
200,SPLUNK INC,1353283
201,SPROUT SOCIAL INC,1517375
202,SPS COMMERCE INC,1092699
203,SSI INVESTMENTS II LTD,1501919
204,SUMO LOGIC INC,1643269
205,SVMK INC,1739936
206,SYNACOR INC,1210634
207,SYNOPSYS INC,883241
208,TAUTACHROME INC,1389067
209,TELENAV INC,1353536
210,TENABLE HOLDINGS INC,1660280
211,TIBCO SOFTWARE INC,1085280
212,TINTRI INC,1554875
213,TMM INC,939652
214,TRADE DESK INC,1671933
215,TWILIO INC,1447669
216,TYLER TECHNOLOGIES INC,860731
217,ULTIMATE SOFTWARE GROUP INC,1016125
218,UNITRONIX CORP,835270
219,UNITY SOFTWARE INC,1810806
220,UPLAND SOFTWARE INC,1505155
221,VARONIS SYSTEMS INC,1361113
222,VEEVA SYSTEMS INC,1393052
223,VERINT SYSTEMS INC,1166388
224,VERITONE INC,1615165
225,VERTEX INC,1806837
226,VIRNETX HOLDING CORP,1082324
227,VIVA ENTERTAINMENT GROUP INC,1479000
228,VOYAGER DIGITAL LTD,1827032
229,VUBOTICS INC,1100981
230,WORKDAY INC,1327811
231,WORKIVA INC,1445305
232,XCELMOBILITY INC,1465509
233,XPERI HOLDING CORP,1803696
234,YAPPN CORP,1511735
235,YEXT INC,1614178
236,ZENDESK INC,1463172
237,ZIX CORP,855612
238,ZOOM TELEPHONICS INC,822708
239,ZOOMAWAY TRAVEL INC,1541054
240,ZSCALER INC,1713683
241,ZUORA INC,1423774
242,ADVANCED VOICE RECOGNITION,1342936
243,AMERICAN SECURITY RES CORP,1085069
244,AMERICAN SOFTWARE  CL A,713425
245,AUTOMATIC DATA PROCESSING,8670
246,AVAYA HLDGS CORP,1418100
247,BIGCOMMERCE HOLDIN INC,1626450
248,BIOKEY INTERNATIONAL INC,1242388
249,BLAQCLOUDS INC,1517990
250,BSQUARE CORP,1054721
251,BUSYBOX COM INC,1088316
252,CERIDIAN HCM HOLDING,1725057
253,CHANGSHENG INTERNATIONAL GRO,1451797
254,CHINA YANYUN YHU NTL ED GRP,1773086
255,CLOUDWARD INC,1045739
256,COM GUARDCOM INC,1103759
257,DUCK CREEK TECHNOL INC,1160951
258,FANTASY ACES DAILY FANTASY,1653115
259,FLEXSHARES IBOXX 3YR TAR FD,
260,FLEXSHARES IBOXX 5YR TAR FD,
261,GTY TECHNOLOGY HOLDINGS,1682325
262,HRSOFT INC,917019
263,INTEGRATED BUSINESS SYS SVC,1040863
264,INTELLIGENT SYSTEM CORP,320340
265,INTERNATIONAL LEADERS CAP CO,1470550
266,ISHARES IBOXX HIGH YLD CP BD,
267,ISHARES IBOXX INVST GR CP BD,
268,KIWIBOX COM INC,838796
269,LIQUI BOX CORP,216430
270,LIVE MICROSYSTEMS INC,915866
271,MEDALLIANCE INC,886037
272,MEDIATECHNICS CORP,
273,MONSTER ARTS,1423746
274,PALANTIR TECHNOLOG INC,1321655
275,PROGRESS SOFTWARE CORP,876167
276,QUANTGATE SYSTEMS INC,
277,RORINE INTL HOLDING CORP,1423586
278,SAILPOINT TECHNO HLDG,1627857
279,SKYBOX INTL INC,909687
280,SSC TECHNOLOGIES HLDGS INC,878390
281,SYNCHRONOSS TECHNOLOGIES,1131554
282,TERADATA CORP,320045
283,THEGLOBECOM INC,1066684
284,VANCORD CAPITAL INC,1200528
285,VDOPH INTERNATIONAL INC,1499355
286,VERB TECHNOLOGY CO INC,1566610
287,VERTICAL COMPUTER SYS INC,1099509
288,VMWARE INC CL A,1124610
289,WOD RETAIL SOLUTIONS,704366
290,ZOOM VIDEO COMUNICATIONS INC,1585521
291,ZOOMINFO TECHNOLOGIES,1794515
292,ADVANCED VOICE RECOGNITION,1342936
293,AMERICAN SECURITY RES CORP,1085069
294,AMERICAN SOFTWARE  CL A,713425
295,AUTOMATIC DATA PROCESSING,8670
296,AVAYA HLDGS CORP,1418100
297,BIGCOMMERCE HOLDIN INC,1626450
298,BIOKEY INTERNATIONAL INC,1242388
299,BLAQCLOUDS INC,1517990
300,BSQUARE CORP,1054721
301,BUSYBOX COM INC,1088316
302,CERIDIAN HCM HOLDING,1725057
303,CHANGSHENG INTERNATIONAL GRO,1451797
304,CHINA YANYUN YHU NTL ED GRP,1773086
305,CLOUDWARD INC,1045739
306,COM GUARDCOM INC,1103759
307,DUCK CREEK TECHNOL INC,1160951
308,FANTASY ACES DAILY FANTASY,1653115
309,FLEXSHARES IBOXX 3YR TAR FD,
310,FLEXSHARES IBOXX 5YR TAR FD,
311,GTY TECHNOLOGY HOLDINGS,1682325
312,HRSOFT INC,917019
313,INTEGRATED BUSINESS SYS SVC,1040863
314,INTELLIGENT SYSTEM CORP,320340
315,INTERNATIONAL LEADERS CAP CO,1470550
316,ISHARES IBOXX HIGH YLD CP BD,
317,ISHARES IBOXX INVST GR CP BD,
318,KIWIBOX COM INC,838796
319,LIQUI BOX CORP,216430
320,LIVE MICROSYSTEMS INC,915866
321,MEDALLIANCE INC,886037
322,MEDIATECHNICS CORP,
323,MONSTER ARTS,1423746
324,PALANTIR TECHNOLOG INC,1321655
325,PROGRESS SOFTWARE CORP,876167
326,QUANTGATE SYSTEMS INC,
327,RORINE INTL HOLDING CORP,1423586
328,SAILPOINT TECHNO HLDG,1627857
329,SKYBOX INTL INC,909687
330,SSC TECHNOLOGIES HLDGS INC,878390
331,SYNCHRONOSS TECHNOLOGIES,1131554
332,TERADATA CORP,320045
333,THEGLOBECOM INC,1066684
334,VANCORD CAPITAL INC,1200528
335,VDOPH INTERNATIONAL INC,1499355
336,VERB TECHNOLOGY CO INC,1566610
337,VERTICAL COMPUTER SYS INC,1099509
338,VMWARE INC CL A,1124610
339,WOD RETAIL SOLUTIONS,704366
340,ZOOM VIDEO COMUNICATIONS INC,1585521
341,ZOOMINFO TECHNOLOGIES,1794515
342,ADVANCED VOICE RECOGNITION,1342936
343,AMERICAN SECURITY RES CORP,1085069
344,AMERICAN SOFTWARE  CL A,713425
345,AUTOMATIC DATA PROCESSING,8670
346,AVAYA HLDGS CORP,1418100
347,BIGCOMMERCE HOLDIN INC,1626450
348,BIOKEY INTERNATIONAL INC,1242388
349,BLAQCLOUDS INC,1517990
350,BSQUARE CORP,1054721
351,BUSYBOX COM INC,1088316
352,CERIDIAN HCM HOLDING,1725057
353,CHANGSHENG INTERNATIONAL GRO,1451797
354,CHINA YANYUN YHU NTL ED GRP,1773086
355,CLOUDWARD INC,1045739
356,COM GUARDCOM INC,1103759
357,DUCK CREEK TECHNOL INC,1160951
358,FANTASY ACES DAILY FANTASY,1653115
359,FLEXSHARES IBOXX 3YR TAR FD,
360,FLEXSHARES IBOXX 5YR TAR FD,
361,GTY TECHNOLOGY HOLDINGS,1682325
362,HRSOFT INC,917019
363,INTEGRATED BUSINESS SYS SVC,1040863
364,INTELLIGENT SYSTEM CORP,320340
365,INTERNATIONAL LEADERS CAP CO,1470550
366,ISHARES IBOXX HIGH YLD CP BD,
367,ISHARES IBOXX INVST GR CP BD,
368,KIWIBOX COM INC,838796
369,LIQUI BOX CORP,216430
370,LIVE MICROSYSTEMS INC,915866
371,MEDALLIANCE INC,886037
372,MEDIATECHNICS CORP,
373,MONSTER ARTS,1423746
374,PALANTIR TECHNOLOG INC,1321655
375,PROGRESS SOFTWARE CORP,876167
376,QUANTGATE SYSTEMS INC,
377,RORINE INTL HOLDING CORP,1423586
378,SAILPOINT TECHNO HLDG,1627857
379,SKYBOX INTL INC,909687
380,SSC TECHNOLOGIES HLDGS INC,878390
381,SYNCHRONOSS TECHNOLOGIES,1131554
382,TERADATA CORP,320045
383,THEGLOBECOM INC,1066684
384,VANCORD CAPITAL INC,1200528
385,VDOPH INTERNATIONAL INC,1499355
386,VERB TECHNOLOGY CO INC,1566610
387,VERTICAL COMPUTER SYS INC,1099509
388,VMWARE INC CL A,1124610
389,WOD RETAIL SOLUTIONS,704366
390,ZOOM VIDEO COMUNICATIONS INC,1585521
391,ZOOMINFO TECHNOLOGIES,1794515
392,ADVANCED VOICE RECOGNITION,1342936
393,AMERICAN SECURITY RES CORP,1085069
394,AMERICAN SOFTWARE  CL A,713425
395,AUTOMATIC DATA PROCESSING,8670
396,AVAYA HLDGS CORP,1418100
397,BIGCOMMERCE HOLDIN INC,1626450
398,BIOKEY INTERNATIONAL INC,1242388
399,BLAQCLOUDS INC,1517990
400,BSQUARE CORP,1054721
401,BUSYBOX COM INC,1088316
402,CERIDIAN HCM HOLDING,1725057
403,CHANGSHENG INTERNATIONAL GRO,1451797
404,CHINA YANYUN YHU NTL ED GRP,1773086
405,CLOUDWARD INC,1045739
406,COM GUARDCOM INC,1103759
407,DUCK CREEK TECHNOL INC,1160951
408,FANTASY ACES DAILY FANTASY,1653115
409,FLEXSHARES IBOXX 3YR TAR FD,
410,FLEXSHARES IBOXX 5YR TAR FD,
411,GTY TECHNOLOGY HOLDINGS,1682325
412,HRSOFT INC,917019
413,INTEGRATED BUSINESS SYS SVC,1040863
414,INTELLIGENT SYSTEM CORP,320340
415,INTERNATIONAL LEADERS CAP CO,1470550
416,ISHARES IBOXX HIGH YLD CP BD,
417,ISHARES IBOXX INVST GR CP BD,
418,KIWIBOX COM INC,838796
419,LIQUI BOX CORP,216430
420,LIVE MICROSYSTEMS INC,915866
421,MEDALLIANCE INC,886037
422,MEDIATECHNICS CORP,
423,MONSTER ARTS,1423746
424,PALANTIR TECHNOLOG INC,1321655
425,PROGRESS SOFTWARE CORP,876167
426,QUANTGATE SYSTEMS INC,
427,RORINE INTL HOLDING CORP,1423586
428,SAILPOINT TECHNO HLDG,1627857
429,SKYBOX INTL INC,909687
430,SSC TECHNOLOGIES HLDGS INC,878390
431,SYNCHRONOSS TECHNOLOGIES,1131554
432,TERADATA CORP,320045
433,THEGLOBECOM INC,1066684
434,VANCORD CAPITAL INC,1200528
435,VDOPH INTERNATIONAL INC,1499355
436,VERB TECHNOLOGY CO INC,1566610
437,VERTICAL COMPUTER SYS INC,1099509
438,VMWARE INC CL A,1124610
439,WOD RETAIL SOLUTIONS,704366
440,ZOOM VIDEO COMUNICATIONS INC,1585521
441,ZOOMINFO TECHNOLOGIES,1794515
